Time,Pitch (x),Yaw (y),Roll (z)
28.78,8.2669115,14.525362,10.869348
28.81,8.27995,14.544106,10.900315
28.88,8.297881,14.579153,10.908466
28.92,8.310921,14.608493,10.924767
28.97,8.324039,14.611773,10.946904
29,8.344291,14.620683,10.9647255
29.05,8.363853,14.645137,10.983474
29.11,8.380151,14.6483965,11.008736
29.16,8.388302,14.647581,11.034004
29.21,8.411145,14.6483965,11.051137
29.24,8.417659,14.652468,11.051951
29.28,8.418474,14.632908,11.080476
29.34,8.428254,14.642688,11.098405
29.39,8.435586,14.641873,11.1318035
29.42,8.445372,14.650028,11.15953
29.47,8.47311,14.650844,11.166872
29.51,8.473925,14.641073,11.19374
29.58,8.480445,14.646779,11.1970005
29.63,8.482075,14.6378145,11.215744
29.66,8.483705,14.641891,11.2369375
29.71,8.485334,14.652484,11.253235
29.75,8.49267,14.639442,11.274427
29.81,8.49919,14.642702,11.292357
29.84,8.522822,14.650851,11.3159895
29.89,8.526897,14.662262,11.349406
29.94,8.536679,14.674489,11.366525
29.99,8.548088,14.682638,11.365709
30.05,8.561942,14.683454,11.375489
30.08,8.578242,14.694049,11.392605
30.13,8.597012,14.730771,11.40811
30.17,8.605151,14.752747,11.429272
30.22,8.614932,14.760082,11.45943
30.27,8.626341,14.752748,11.474098
30.31,8.630421,14.780488,11.494495
30.36,8.629606,14.792708,11.511604
30.41,8.66956,14.8033085,11.530358
30.44,8.67282,14.817978,11.558067
30.5,8.686686,14.810637,11.580904
30.55,8.707851,14.811452,11.606954
30.59,8.723335,14.820416,11.606138
30.64,8.736376,14.837532,11.637925
30.67,8.755939,14.841607,11.63385
30.74,8.758383,14.861979,11.659925
30.78,8.757568,14.859535,11.672144
30.83,8.77796,14.884005,11.711295
30.86,8.773888,14.899479,11.725141
30.92,8.777147,14.911704,11.74959
30.97,8.768178,14.904366,11.775682
31.01,8.784471,14.916585,11.7699795
31.06,8.796696,14.92881,11.787094
31.09,8.802401,14.92066,11.834367
31.16,8.822776,14.91903,11.842517
31.21,8.830928,14.927997,11.864527
31.25,8.844781,14.93533,11.879194
31.28,8.850487,14.943481,11.901201
31.33,8.852931,14.932073,11.916684
31.39,8.857821,14.956524,11.927279
31.44,8.866787,14.954079,11.920759
31.49,8.872492,14.950004,11.950099
31.51,8.882272,14.972009,11.9549885
31.56,8.878197,14.961412,11.979441
31.63,8.897755,14.959783,12.003888
31.67,8.910795,14.967933,12.025079
31.71,8.911611,14.970378,12.038934
31.75,8.91324,14.976083,12.060123
31.8,8.932801,14.980158,12.059308
31.86,8.954809,14.984233,12.076426
31.91,8.965403,14.992382,12.084575
31.94,8.971112,14.994829,12.101704
31.99,8.977628,15.002159,12.124508
32.03,8.967848,14.996454,12.142438
32.09,8.984962,14.993195,12.151402
32.13,9.0069685,14.990749,12.152218
32.17,9.022453,15.010309,12.174223
